id,COL,DEPT,CRN,CRS_NO,TITLE,SECT,TYPE_,CAMP,ENROL,INSTR_ID,INSTRUCTOR,EXAM_DATE,COURSE_TYPE,COURSE_CLASS,time_slot
4,14,BIOT,20558,1450421,Plant Biotechnology,13L,LAB,UOS,21,101165,Tasneem  Obaid,06/05/2024,General,Year4,08:30AM - 10:30AM
5,14,BIOT,20559,1450421,Plant Biotechnology,11L,LAB,UOS,16,101165,Tasneem  Obaid,06/05/2024,General,Year4,08:30AM - 10:30AM
30,4,SREE,21612,406420,Solar Thermal Energy Systems,11,LEC,UOS,42,101262,Ahmed Amine Hachicha,06/05/2024,General,Year4,08:30AM - 10:30AM
34,3,FNEC,23799,308365,Risk Management,1,LEC,MAM,15,101078,Mohammed  Hersi,06/05/2024,General,Year3,08:30AM - 10:30AM
53,11,PHPR,23703,1102360,Integ. Pharma. & Therap. IIA,71,LEC,MDM,79,102013,Ahmad Yousef Mohammad Abu Helwa,06/05/2024,General,Year3,08:30AM - 10:30AM
61,5,MLT,21955,501365,Blood Banking,72L,LAB,MDM,24,10216,Omar Mahmoud Chebbo,06/05/2024,General,Year3,08:30AM - 10:30AM
64,5,MLT,21942,501365,Blood Banking,71,LEC,MDM,41,101644,Raed Omar Abu Odeh,06/05/2024,General,Year3,08:30AM - 10:30AM
137,15,BUIS,20598,1503130,Introduction to BIS,51V,LEC,MAW,44,101975,Mohamed Elhoseny Ibrahim Elkholy,06/05/2024,General,Year1,13:30PM - 15:30PM
139,14,MATH,20276,1440281,Intro Probability & Statistics,51,LEC,MAW,21,102073,Tahir  Abbas,06/05/2024,General,Year2,13:30PM - 15:30PM
140,14,MATH,20268,1440281,Intro Probability & Statistics,11,LEC,UOS,45,101867,Marwan  Al-Momani,06/05/2024,General,Year2,13:30PM - 15:30PM
149,4,IEMG,23842,405428,Data-Driven Tech. in Ind. App.,11,LEC,UOS,11,101934,Concetta  Semeraro,06/05/2024,General,Year4,13:30PM - 15:30PM
197,15,BUIS,20600,1503211,Business Analytics,11,LEC,UOS,34,101474,Saadat Mehmood  Alhashmi,06/05/2024,General,Year2,16:00PM - 18:00PM
227,5,NURS,21056,503460,Mental Health Nursing,72,LEC,MDM,55,101669,Muhammad Arsyad Subu,06/05/2024,General,Year4,16:00PM - 18:00PM
276,2,SOCI,20911,204240,Intro. to Social Work,51,LEC,MAW,52,101987,Fatma A. D. Algharbawi,06/05/2024,General,Year2,16:00PM - 18:00PM
307,3,FNEC,23800,308365,Risk Management,51,LEC,MAW,14,101078,Mohammed  Hersi,06/05/2024,General,Year3,08:30AM - 10:30AM
319,4,NUCL,22465,407300,Elements of NE and Rad.Science,11,LEC,UOS,5,101577,Bassam Abdullah Ayed Khuwaileh,06/05/2024,General,Year3,08:30AM - 10:30AM
333,5,MLT,21957,501365,Blood Banking,73L,LAB,MDM,23,10216,Omar Mahmoud Chebbo,06/05/2024,General,Year3,08:30AM - 10:30AM
365,14,MATH,20226,1440261,Diff. Equs for Engs,3,LEC,MAM,41,101720,Salim  Messaoudi,06/05/2024,General,Year2,11:00AM - 13:00PM
379,2,SOCI,20979,204412,Social Organizations,1,LEC,MAM,35,101285,Salama Mohammad Al Rahoomi,06/05/2024,General,Year4,11:00AM - 13:00PM
422,15,BUIS,20596,1503130,Introduction to BIS,01V,LEC,MAM,44,P-3113,Fanar F. H. Shwedeh,06/05/2024,General,Year1,13:30PM - 15:30PM
423,15,BUIS,20599,1503130,Introduction to BIS,52,LEC,MAW,44,101203,Iman Ahmed Akour,06/05/2024,General,Year1,13:30PM - 15:30PM
446,5,NURS,20980,503263,Health Edu. & Health Prom.,11A,LEC,UOS,14,102175,Muna Mohammed Salem Al-Tamimi,06/05/2024,General,Year2,13:30PM - 15:30PM
455,5,NURS,20989,503263,Health Edu. & Health Prom.,73,LEC,MDM,41,10750,Mini Sara  Abraham,06/05/2024,General,Year2,13:30PM - 15:30PM
470,6,PBLW,22636,602255,Penal Law-Offenses Agst Money,51,LEC,MAW,46,101376,Manal Marwan Monajjed,06/05/2024,General,Year2,13:30PM - 15:30PM
476,15,COSC,21930,1501352,Operating Systems,11,LEC,UOS,52,101511,Sohail  Abbas,06/05/2024,General,Year3,13:30PM - 15:30PM
477,5,NURS,23759,503263,Health Edu. & Health Prom.,74,LEC,MDM,41,101895,Mustafa Muhamad Habeb,06/05/2024,General,Year2,13:30PM - 15:30PM
478,5,NURS,23760,503263,Health Edu. & Health Prom.,75,LEC,MDM,27,101895,Mustafa Muhamad Habeb,06/05/2024,General,Year2,13:30PM - 15:30PM
499,2,INRE,20423,205300,International Law,11,LEC,UOS,67,102148,Mona  Salman,06/05/2024,General,Year3,16:00PM - 18:00PM
