Location,Seat,,,,
M10-002,29,,,,
M10-004D,28,,,,
M10-008,30,,,,
M10-010,29,,,,
M10-101D,30,,,,
M10-102,36,,,,
M10-103D,39,,,,
M10-104,36,,,,
M10-107,35,,,,
M10-108,35,,,,
M10-109,24,,,,
M10-110,36,,,,
M10-TH005,55,,,,
M10-TH007,55,,,,
M10-105,20,,,,
M4-008,40,,,,
M4-101,40,,,,
M4-102,40,,,,
M4-103,40,,,,
M4-104,40,,,,
M4-105,40,,,,
M4-109,40,,,,
M4-110,40,,,,
M4-111,40,,,,
M4-TH005,55,,,,
M4-TH007,55,,,,
M5 006 ,55,,,,
M5 008 ,55,,,,
M6 006,54,,,,
M6 101 ,23,,,,
M6 110 ,28,,,,
M6 111,21,,,,
M6 112,29,,,,
M9 006 ,55,,,,
W10-002,35,,,,
W10-004D,40,,,,
W10-008,40,,,,
W10-101D,40,,,,
W10-102,40,,,,
W10-103D,40,,,,
W10-104,40,,,,
W10-105,40,,,,
W10-109D,40,,,,
W10-110M,40,,,,
W10-111,30,,,,
W10-TH005,55,,,,
W10-TH007,55,,,,
W10-106,20,,,,
W4-002,24,,,,
W4-004,24,,,,
W4-008,40,,,,
W4-101,40,,,,
W4-102,40,,,,
W4-103D,40,,,,
W4-104D,40,,,,
W4-105,40,,,,
W4-108,40,,,,
W4-109,40,,,,
W4-110,40,,,,
W4-111,40,,,,
W4-TH005,55,,,,
W4-TH007,55,,,,
W5-006,55,,,,
W5-007,55,,,,
W8-W8-004,20,,,,
W8-W8-104D,40,,,,
W8-W8-TH005M,55,,,,
W9-TH006,55,,,,
W9-TH007,55,,,,
M1 001 ,30,,,,
M1 001 A,30,,,,
M1 002,70,,,,
M1 003B ,40,,,,
M1 008 ,69,,,,
M1 023 ,50,,,,
M1 024,50,,,,
M1 101,30,,,,
M1 102,30,,,,
M1 103,30,,,,
M1 104,30,,,,
M1 105,30,,,,
M1 125,30,,,,
M1 126,30,,,,
M1 127,30,,,,
M1 128,30,,,,
M1 129,30,,,,
M3 001,30,,,,
M3 002,30,,,,
M3 003,30,,,,
M3 004,30,,,,
M3 005,30,,,,
M3 011,47,,,,
M3 101,30,,,,
M3 102,30,,,,
M3 103,30,,,,
M3 104,30,,,,
M3 105,30,,,,
M3 106,30,,,,
M3 123,30,,,,
M3 124,30,,,,
M3 125,30,,,,
M3 126,30,,,,
M2 001,300,,,,
M23 - 012,21,,,,
M23 - 013,16,,,,
M23 - 016,20,,,,
M23 - 10,16,,,,
M23 - 151,66,,,,
M23 - 36,34,,,,
M23 - 37,36,,,,
M23 - 40,36,,,,
M23 - 45,35,,,,
M23 - 46,36,,,,
M23 - 47,35,,,,
M23 -022,35,,,,
M23 -023,36,,,,
M23 - 108,47,,,,
M31-007,72,,,,
M31-008,31,,,,
M31-010,78,,,,
M31-011,25,,,,
M31-013,37,,,,
M31-014,41,,,,
M31-017,34,,,,
M31-018,47,,,,
M31-020,28,,,,
M23 - 151,100,,,,
M23 - 108,75,,,,
M23 - 22,72,,,,
M23 - 23,70,,,,
