COL,DEPT,CRN,CRS_NO,TITLE,SECT,TYPE_,CAMP,ENROL,INSTR_ID,INSTRUCTOR,EXAM_DATE,START_TIME,END_TIME,COURSE_TYPE,COURSE_CLASS
3,BUSP,20675,302250,Legal Environment of Business,53,LEC,MAW,61,101936,Sheer  Abbas,12/05/2024,08:30AM,10:30AM,General,Year2
14,BIOT,20567,1450301,Bio-informatics,53L,LAB,MAW,8,101028,Uzma  Inayat,11/05/2024,08:30AM,10:30AM,General,Year3
14,BIOT,20564,1450301,Bio-informatics,11L,LAB,UOS,22,101028,Uzma  Inayat,11/05/2024,08:30AM,10:30AM,General,Year3
14,BIOT,20558,1450421,Plant Biotechnology,13L,LAB,UOS,21,101165,Tasneem  Obaid,06/05/2024,08:30AM,10:30AM,General,Year4
14,BIOT,20559,1450421,Plant Biotechnology,11L,LAB,UOS,16,101165,Tasneem  Obaid,06/05/2024,08:30AM,10:30AM,General,Year4
1,JURF,20463,103223,Juri. of Marriage and Divorce,51,LEC,MAW,25,101036,Hassan  Al Rifai,29/04/2024,08:30AM,10:30AM,General,Year2
2,ENGL,20096,202213,Short Fiction,51,LEC,MAW,9,101628,Andrew Joseph Power,05/05/2024,08:30AM,10:30AM,General,Year2
2,ENGL,20142,202222,20th Century American Lit,51,LEC,MAW,7,30022,Khaled Mohamed Besbes,13/05/2024,08:30AM,10:30AM,General,Year2
2,INRE,20375,205111,Intro to Political Sciences,11Z,LEC,UOS,53,102035,MD  Moniruzzaman,13/05/2024,08:30AM,10:30AM,General,Year1
14,MATH,20222,1440163,Calc. I for Health Sc.,51,LEC,MAW,41,101009,Nida  Siddiqui,08/05/2024,08:30AM,10:30AM,General,Year1
4,CIVL,20422,401314,Reinforced Concrete Design 1,11,LEC,UOS,3,101486,Muhammad Talha Junaid,12/05/2024,08:30AM,10:30AM,General,Year3
7,FNAR,23684,700333,Research Methodology in A & D,14,LEC,FAM,19,101608,Jay Matthew Hetrick,14/05/2024,08:30AM,10:30AM,General,Year3
7,FNAR,23687,701123,Photography Studio I,11,LES,FAM,12,101752,Hans Torsten Seidel,06/05/2024,08:30AM,10:30AM,General,Year1
