id,COL,DEPT,CRN,CRS_NO,TITLE,SECT,TYPE_,CAMP,ENROL,INSTR_ID,INSTRUCTOR,EXAM_DATE,START_TIME,END_TIME,COURSE_TYPE,COURSE_CLASS
1,3,BUSP,20675,302250,Legal Environment of Business,53,LEC,MAW,61,101936,Sheer  Abbas,12/05/2024,08:30AM,10:30AM,General,Year2
2,14,BIOT,20567,1450301,Bio-informatics,53L,LAB,MAW,8,101028,Uzma  Inayat,11/05/2024,08:30AM,10:30AM,General,Year3
3,14,BIOT,20564,1450301,Bio-informatics,11L,LAB,UOS,22,101028,Uzma  Inayat,11/05/2024,08:30AM,10:30AM,General,Year3
4,14,BIOT,20558,1450421,Plant Biotechnology,13L,LAB,UOS,21,101165,Tasneem  Obaid,06/05/2024,08:30AM,10:30AM,General,Year4
5,14,BIOT,20559,1450421,Plant Biotechnology,11L,LAB,UOS,16,101165,Tasneem  Obaid,06/05/2024,08:30AM,10:30AM,General,Year4
6,1,JURF,20463,103223,Juri. of Marriage and Divorce,51,LEC,MAW,25,101036,Hassan  Al Rifai,29/04/2024,08:30AM,10:30AM,General,Year2
7,2,ENGL,20096,202213,Short Fiction,51,LEC,MAW,9,101628,Andrew Joseph Power,05/05/2024,08:30AM,10:30AM,General,Year2
8,2,ENGL,20142,202222,20th Century American Lit,51,LEC,MAW,7,30022,Khaled Mohamed Besbes,13/05/2024,08:30AM,10:30AM,General,Year2
9,2,INRE,20375,205111,Intro to Political Sciences,11Z,LEC,UOS,53,102035,MD  Moniruzzaman,13/05/2024,08:30AM,10:30AM,General,Year1
10,14,MATH,20222,1440163,Calc. I for Health Sc.,51,LEC,MAW,41,101009,Nida  Siddiqui,08/05/2024,08:30AM,10:30AM,General,Year1
11,4,CIVL,20422,401314,Reinforced Concrete Design 1,11,LEC,UOS,3,101486,Muhammad Talha Junaid,12/05/2024,08:30AM,10:30AM,General,Year3
15,2,IEP,21251,11113,Writing Skills,11,LEC,UOS,36,10606,Nevin Kamal EL Gazzar,12/05/2024,08:30AM,10:30AM,General,Year1
16,2,IEP,21253,11113,Writing Skills,12,LEC,UOS,37,10508,Domenic  Fumo,12/05/2024,08:30AM,10:30AM,General,Year1
17,14,APHY,21345,1430107,Physics for Health Sci,79L,LAB,MDM,24,101109,Tahani  Ibrahim Ragheb AL Sarayreh,12/05/2024,08:30AM,10:30AM,General,Year1
18,6,LAW,24490,606161,Constitutional Law,11,LEC,UOS,10,101788,Simon   Badran,08/05/2024,08:30AM,10:30AM,General,Year1
19,8,PUBL,23624,807221,Intro. to Public Relations,51,LEC,MAW,50,10646,Khayrat Moawed Ayad,13/05/2024,08:30AM,10:30AM,General,Year2
20,8,PUBL,23632,807202,Effective Present. & Speech,12,LEC,UOS,7,101145,Shareefa  Al-Marzooqi,09/05/2024,08:30AM,10:30AM,General,Year2
21,8,PUBL,23633,807228,Social Media,12,LEB,UOS,52,102068,Mokhtar H Mohamed Elareshi,07/05/2024,08:30AM,10:30AM,General,Year2
23,4,EECE,21044,402343,Random Signal & Systems,11,LEC,UOS,18,102024,Hayssam  Dahrouj,08/05/2024,08:30AM,10:30AM,General,Year3
26,3,FNEC,21038,308332,Investment Analysis,51,LEC,MAW,28,101256,Ray Saadaoui Mallek,13/05/2024,08:30AM,10:30AM,General,Year3
27,5,HSAD,21198,504260,Leadership & Mang. in H. Prof,73,LEC,MDM,62,101061,Syed Azizur Rahman,07/05/2024,08:30AM,10:30AM,General,Year2
28,3,BUSP,21731,302443,Supply Chain Analytics,11,LEC,UOS,41,102066,Mehmood  Khan,07/05/2024,08:30AM,10:30AM,General,Year4
29,2,ARAB,21643,201102,Arabic Language,18G,LEC,UOS,86,101941,Khalid  Elyaboudi,28/04/2024,08:30AM,10:30AM,Uni_Requirement,Year1
